name,location,address,price,menu,sitdown,takeout,grubhub,bar,boba,coffee,bowls,pizza,dessert,asian,mexican,brunch,lunchdinner
Kung Fu Hot Pot,Newark Shopping Center,"230 E Main St Unit 207, Newark, DE 19711",$$,"https://www.google.com/maps/place/Kung+Fu+Hot+Pot/@39.6848862,-75.7433654,3a,75y,90t/data=!3m8!1e2!3m6!1sAF1QipMet0vhBqcTImmxkuCUrNWBq57NtVrShH5o9ljw!2e10!3e12!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipMet0vhBqcTImmxkuCUrNWBq57NtVrShH5o9ljw%3Dw224-h298-k-no!7i9000!8i12000!4m9!3m8!1s0x89c7ab4fecfc3ca1:0xf00252dac1bae97d!8m2!3d39.6848862!4d-75.7433654!10e5!14m1!1BCgIYIQ!16s%2Fg%2F11h0mlzvpl?entry=ttu",true,false,false,false,false,false,false,false,false,true,false,false,true
Café 67,Newark Shopping Center,"209 Newark Shopping Center, Newark, DE 19711",$$,"https://www.google.com/maps/place/Café+67/@39.6851235,-75.7433385,3a,75y,90t/data=!3m8!1e2!3m6!1sAF1QipNoHzcDtdm_o4ykUw-yCr7G8YvQR1LWleznjUI2!2e10!3e12!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipNoHzcDtdm_o4ykUw-yCr7G8YvQR1LWleznjUI2%3Dw825-h298-k-no!7i3010!8i1087!4m9!3m8!1s0x89c7aa3bea20bfef:0xfc44bf2f5a6d3181!8m2!3d39.6851235!4d-75.7433385!10e5!14m1!1BCgIYIQ!16s%2Fg%2F11btsv24xp?entry=ttu",false,true,false,false,false,false,false,false,false,false,false,true,false
Capriotti's Sandwich Shop,Newark Shopping Center,"250 E Main St #241, Newark, DE 19711",$,https://capriottis.com/shop-menu,false,true,false,false,false,false,false,false,false,false,false,false,true
QualiTea,Newark Shopping Center,"245 Newark Sc, Newark, DE 19711",$,https://order.mealkeyway.com/customer/release/index?mid=467035773275454d75334f33514d55676e546f466a513d3d#/main,false,true,false,false,true,false,false,false,false,true,false,false,false
Rita's Italian Ice & Frozen Custard,Newark Shopping Center,"600 Newark Shopping Ctr, Newark, DE 19711",$,https://www.ritasice.com/treats/,false,true,false,false,false,false,false,false,true,false,false,false,false
No. 1 Chinese,Newark Shopping Center,"610 Newark Shopping Center Street, Newark, DE 19711",$,https://no1chinesedelaware.com/29193,false,true,false,false,false,false,false,false,false,true,false,false,true
Poke Bros,Newark Shopping Center,"230 E Main St Suite 614, Newark, DE 19711",$$,https://eatpokebros.com/menu/,false,true,false,false,false,false,true,false,false,true,false,false,true
Pho Ever Cafe,Newark Shopping Center,"230 E Main St Ste 618, Newark, DE 19711",$$,http://www.phoevercafe.com/menu.html,false,true,false,false,true,false,false,false,false,true,false,false,true
Mayflower Japanese Restaurant,Newark Shopping Center,"230 E Main St Suite 626, Newark, DE 19711",$,https://menupages.com/mayflower-japanese-restaurant/230-e-main-st-ste-626-newark,false,true,false,false,false,false,false,false,false,true,false,false,true
Big Z Pizza,Newark Shopping Center,"230 E Main St, Newark, DE 19711",$,https://www.bigzpizzamenu.com/#menu,false,true,false,false,false,false,false,true,false,false,false,false,true
